,ds,y
3793,2024-02-28 04:10:00,0
3794,2024-02-28 04:20:00,0
3795,2024-02-28 04:30:00,0
3796,2024-02-28 04:40:00,0
3797,2024-02-28 04:50:00,0
3798,2024-02-28 05:00:00,0
3799,2024-02-28 05:10:00,0
3800,2024-02-28 05:20:00,0
3801,2024-02-28 05:30:00,0
3802,2024-02-28 05:40:00,0
3803,2024-02-28 05:50:00,0
3804,2024-02-28 06:00:00,0
3805,2024-02-28 06:10:00,0
3806,2024-02-28 06:20:00,0
3807,2024-02-28 06:30:00,0
3808,2024-02-28 06:40:00,0
3809,2024-02-28 06:50:00,0
3810,2024-02-28 07:00:00,0
3811,2024-02-28 07:10:00,0
3812,2024-02-28 07:20:00,0
3813,2024-02-28 07:30:00,0
3814,2024-02-28 07:40:00,0
3815,2024-02-28 07:50:00,0
3816,2024-02-28 08:00:00,13
3817,2024-02-28 08:10:00,29
3818,2024-02-28 08:20:00,15
3819,2024-02-28 08:30:00,7
3820,2024-02-28 08:40:00,6
3821,2024-02-28 08:50:00,5
3822,2024-02-28 09:00:00,14
3823,2024-02-28 09:10:00,20
3824,2024-02-28 09:20:00,21
3825,2024-02-28 09:30:00,16
3826,2024-02-28 09:40:00,6
3827,2024-02-28 09:50:00,7
3828,2024-02-28 10:00:00,12
3829,2024-02-28 10:10:00,6
3830,2024-02-28 10:20:00,0
3831,2024-02-28 10:30:00,0
3832,2024-02-28 10:40:00,0
3833,2024-02-28 10:50:00,0
3834,2024-02-28 11:00:00,0
3835,2024-02-28 11:10:00,0
3836,2024-02-28 11:20:00,0
3837,2024-02-28 11:30:00,0
3838,2024-02-28 11:40:00,0
3839,2024-02-28 11:50:00,0
3840,2024-02-28 12:00:00,0
3841,2024-02-28 12:10:00,0
3842,2024-02-28 12:20:00,1
3843,2024-02-28 12:30:00,20
3844,2024-02-28 12:40:00,26
3845,2024-02-28 12:50:00,8
3846,2024-02-28 13:00:00,22
3847,2024-02-28 13:10:00,38
3848,2024-02-28 13:20:00,38
3849,2024-02-28 13:30:00,26
3850,2024-02-28 13:40:00,35
3851,2024-02-28 13:50:00,28
3852,2024-02-28 14:00:00,31
3853,2024-02-28 14:10:00,17
3854,2024-02-28 14:20:00,4
3855,2024-02-28 14:30:00,1
3856,2024-02-28 14:40:00,0
3857,2024-02-28 14:50:00,0
3858,2024-02-28 15:00:00,0
3859,2024-02-28 15:10:00,0
3860,2024-02-28 15:20:00,0
3861,2024-02-28 15:30:00,0
3862,2024-02-28 15:40:00,0
3863,2024-02-28 15:50:00,0
3864,2024-02-28 16:00:00,0
3865,2024-02-28 16:10:00,0
3866,2024-02-28 16:20:00,0
3867,2024-02-28 16:30:00,0
3868,2024-02-28 16:40:00,0
3869,2024-02-28 16:50:00,0
3870,2024-02-28 17:00:00,14
3871,2024-02-28 17:10:00,19
3872,2024-02-28 17:20:00,15
3873,2024-02-28 17:30:00,11
3874,2024-02-28 17:40:00,21
3875,2024-02-28 17:50:00,8
3876,2024-02-28 18:00:00,6
3877,2024-02-28 18:10:00,0
3878,2024-02-28 18:20:00,0
3879,2024-02-28 18:30:00,0
3880,2024-02-28 18:40:00,0
3881,2024-02-28 18:50:00,0
3882,2024-02-28 19:00:00,0
3883,2024-02-28 19:10:00,0
3884,2024-02-28 19:20:00,0
3885,2024-02-28 19:30:00,0
3886,2024-02-28 19:40:00,0
3887,2024-02-28 19:50:00,5
3888,2024-02-28 20:00:00,25
3889,2024-02-28 20:10:00,15
3890,2024-02-28 20:20:00,30
3891,2024-02-28 20:30:00,37
3892,2024-02-28 20:40:00,16
3893,2024-02-28 20:50:00,12
3894,2024-02-28 21:00:00,18
3895,2024-02-28 21:10:00,22
3896,2024-02-28 21:20:00,21
3897,2024-02-28 21:30:00,12
3898,2024-02-28 21:40:00,18
3899,2024-02-28 21:50:00,10
3900,2024-02-28 22:00:00,5
3901,2024-02-28 22:10:00,0
3902,2024-02-28 22:20:00,0
3903,2024-02-28 22:30:00,0
3904,2024-02-28 22:40:00,0
3905,2024-02-28 22:50:00,0
3906,2024-02-28 23:00:00,0
3907,2024-02-28 23:10:00,0
3908,2024-02-28 23:20:00,0
3909,2024-02-28 23:30:00,0
3910,2024-02-28 23:40:00,0
3911,2024-02-28 23:50:00,0
3912,2024-02-29 00:00:00,0
3913,2024-02-29 00:10:00,0
3914,2024-02-29 00:20:00,0
3915,2024-02-29 00:30:00,0
3916,2024-02-29 00:40:00,0
3917,2024-02-29 00:50:00,0
3918,2024-02-29 01:00:00,0
3919,2024-02-29 01:10:00,0
3920,2024-02-29 01:20:00,0
3921,2024-02-29 01:30:00,0
3922,2024-02-29 01:40:00,0
3923,2024-02-29 01:50:00,0
3924,2024-02-29 02:00:00,0
3925,2024-02-29 02:10:00,0
3926,2024-02-29 02:20:00,0
3927,2024-02-29 02:30:00,0
3928,2024-02-29 02:40:00,0
3929,2024-02-29 02:50:00,0
3930,2024-02-29 03:00:00,0
3931,2024-02-29 03:10:00,0
3932,2024-02-29 03:20:00,0
3933,2024-02-29 03:30:00,0
3934,2024-02-29 03:40:00,0
3935,2024-02-29 03:50:00,0
3936,2024-02-29 04:00:00,0
3937,2024-02-29 04:10:00,0
3938,2024-02-29 04:20:00,0
3939,2024-02-29 04:30:00,0
3940,2024-02-29 04:40:00,0
3941,2024-02-29 04:50:00,0
3942,2024-02-29 05:00:00,0
3943,2024-02-29 05:10:00,0
3944,2024-02-29 05:20:00,0
3945,2024-02-29 05:30:00,0
3946,2024-02-29 05:40:00,0
3947,2024-02-29 05:50:00,0
3948,2024-02-29 06:00:00,0
3949,2024-02-29 06:10:00,0
3950,2024-02-29 06:20:00,0
3951,2024-02-29 06:30:00,0
3952,2024-02-29 06:40:00,0
3953,2024-02-29 06:50:00,0
3954,2024-02-29 07:00:00,0
3955,2024-02-29 07:10:00,0
3956,2024-02-29 07:20:00,0
3957,2024-02-29 07:30:00,0
3958,2024-02-29 07:40:00,0
3959,2024-02-29 07:50:00,2
3960,2024-02-29 08:00:00,14
3961,2024-02-29 08:10:00,16
3962,2024-02-29 08:20:00,18
3963,2024-02-29 08:30:00,4
3964,2024-02-29 08:40:00,6
3965,2024-02-29 08:50:00,15
3966,2024-02-29 09:00:00,14
3967,2024-02-29 09:10:00,14
3968,2024-02-29 09:20:00,27
3969,2024-02-29 09:30:00,9
3970,2024-02-29 09:40:00,16
3971,2024-02-29 09:50:00,26
3972,2024-02-29 10:00:00,28
3973,2024-02-29 10:10:00,13
3974,2024-02-29 10:20:00,0
3975,2024-02-29 10:30:00,0
3976,2024-02-29 10:40:00,0
3977,2024-02-29 10:50:00,0
3978,2024-02-29 11:00:00,0
3979,2024-02-29 11:10:00,0
3980,2024-02-29 11:20:00,0
3981,2024-02-29 11:30:00,0
3982,2024-02-29 11:40:00,0
3983,2024-02-29 11:50:00,0
3984,2024-02-29 12:00:00,0
3985,2024-02-29 12:10:00,0
3986,2024-02-29 12:20:00,0
3987,2024-02-29 12:30:00,36
3988,2024-02-29 12:40:00,32
3989,2024-02-29 12:50:00,26
3990,2024-02-29 13:00:00,18
3991,2024-02-29 13:10:00,29
3992,2024-02-29 13:20:00,21
3993,2024-02-29 13:30:00,23
3994,2024-02-29 13:40:00,0
3995,2024-02-29 13:50:00,0
3996,2024-02-29 14:00:00,17
3997,2024-02-29 14:10:00,18
3998,2024-02-29 14:20:00,8
3999,2024-02-29 14:30:00,1
4000,2024-02-29 14:40:00,0
4001,2024-02-29 14:50:00,0
4002,2024-02-29 15:00:00,0
4003,2024-02-29 15:10:00,0
4004,2024-02-29 15:20:00,0
4005,2024-02-29 15:30:00,0
4006,2024-02-29 15:40:00,0
4007,2024-02-29 15:50:00,0
4008,2024-02-29 16:00:00,0
4009,2024-02-29 16:10:00,0
4010,2024-02-29 16:20:00,0
4011,2024-02-29 16:30:00,0
4012,2024-02-29 16:40:00,0
4013,2024-02-29 16:50:00,0
4014,2024-02-29 17:00:00,11
4015,2024-02-29 17:10:00,20
4016,2024-02-29 17:20:00,17
4017,2024-02-29 17:30:00,22
4018,2024-02-29 17:40:00,45
4019,2024-02-29 17:50:00,19
4020,2024-02-29 18:00:00,6
4021,2024-02-29 18:10:00,3
4022,2024-02-29 18:20:00,0
4023,2024-02-29 18:30:00,0
4024,2024-02-29 18:40:00,0
4025,2024-02-29 18:50:00,0
4026,2024-02-29 19:00:00,0
4027,2024-02-29 19:10:00,0
4028,2024-02-29 19:20:00,0
4029,2024-02-29 19:30:00,0
4030,2024-02-29 19:40:00,0
4031,2024-02-29 19:50:00,2
4032,2024-02-29 20:00:00,20
4033,2024-02-29 20:10:00,36
4034,2024-02-29 20:20:00,29
4035,2024-02-29 20:30:00,26
4036,2024-02-29 20:40:00,29
4037,2024-02-29 20:50:00,26
4038,2024-02-29 21:00:00,20
4039,2024-02-29 21:10:00,13
4040,2024-02-29 21:20:00,24
4041,2024-02-29 21:30:00,7
4042,2024-02-29 21:40:00,0
4043,2024-02-29 21:50:00,10
4044,2024-02-29 22:00:00,1
4045,2024-02-29 22:10:00,0
4046,2024-02-29 22:20:00,0
4047,2024-02-29 22:30:00,0
4048,2024-02-29 22:40:00,0
4049,2024-02-29 22:50:00,0
4050,2024-02-29 23:00:00,0
4051,2024-02-29 23:10:00,0
4052,2024-02-29 23:20:00,0
4053,2024-02-29 23:30:00,0
4054,2024-02-29 23:40:00,0
4055,2024-02-29 23:50:00,0
4056,2024-03-01 00:00:00,0
4057,2024-03-01 00:10:00,0
4058,2024-03-01 00:20:00,0
4059,2024-03-01 00:30:00,0
4060,2024-03-01 00:40:00,0
4061,2024-03-01 00:50:00,0
4062,2024-03-01 01:00:00,0
4063,2024-03-01 01:10:00,0
4064,2024-03-01 01:20:00,0
4065,2024-03-01 01:30:00,0
4066,2024-03-01 01:40:00,0
4067,2024-03-01 01:50:00,0
4068,2024-03-01 02:00:00,0
4069,2024-03-01 02:10:00,0
4070,2024-03-01 02:20:00,0
4071,2024-03-01 02:30:00,0
4072,2024-03-01 02:40:00,0
4073,2024-03-01 02:50:00,0
4074,2024-03-01 03:00:00,0
4075,2024-03-01 03:10:00,0
4076,2024-03-01 03:20:00,0
4077,2024-03-01 03:30:00,0
4078,2024-03-01 03:40:00,0
4079,2024-03-01 03:50:00,0
4080,2024-03-01 04:00:00,0
4081,2024-03-01 04:10:00,0
4082,2024-03-01 04:20:00,0
4083,2024-03-01 04:30:00,0
4084,2024-03-01 04:40:00,0
4085,2024-03-01 04:50:00,0
4086,2024-03-01 05:00:00,0
4087,2024-03-01 05:10:00,0
4088,2024-03-01 05:20:00,0
4089,2024-03-01 05:30:00,0
4090,2024-03-01 05:40:00,0
4091,2024-03-01 05:50:00,0
4092,2024-03-01 06:00:00,0
4093,2024-03-01 06:10:00,0
4094,2024-03-01 06:20:00,0
4095,2024-03-01 06:30:00,0
4096,2024-03-01 06:40:00,0
4097,2024-03-01 06:50:00,0
4098,2024-03-01 07:00:00,0
4099,2024-03-01 07:10:00,0
4100,2024-03-01 07:20:00,0
4101,2024-03-01 07:30:00,0
4102,2024-03-01 07:40:00,0
4103,2024-03-01 07:50:00,0
4104,2024-03-01 08:00:00,10
4105,2024-03-01 08:10:00,7
4106,2024-03-01 08:20:00,8
4107,2024-03-01 08:30:00,5
4108,2024-03-01 08:40:00,5
4109,2024-03-01 08:50:00,3
4110,2024-03-01 09:00:00,15
4111,2024-03-01 09:10:00,30
4112,2024-03-01 09:20:00,21
4113,2024-03-01 09:30:00,12
4114,2024-03-01 09:40:00,18
4115,2024-03-01 09:50:00,3
4116,2024-03-01 10:00:00,7
4117,2024-03-01 10:10:00,9
4118,2024-03-01 10:20:00,4
4119,2024-03-01 10:30:00,0
4120,2024-03-01 10:40:00,0
4121,2024-03-01 10:50:00,0
4122,2024-03-01 11:00:00,0
4123,2024-03-01 11:10:00,0
4124,2024-03-01 11:20:00,0
4125,2024-03-01 11:30:00,0
4126,2024-03-01 11:40:00,0
4127,2024-03-01 11:50:00,0
4128,2024-03-01 12:00:00,0
4129,2024-03-01 12:10:00,0
4130,2024-03-01 12:20:00,0
4131,2024-03-01 12:30:00,20
4132,2024-03-01 12:40:00,44
4133,2024-03-01 12:50:00,17
4134,2024-03-01 13:00:00,15
4135,2024-03-01 13:10:00,34
4136,2024-03-01 13:20:00,44
4137,2024-03-01 13:30:00,28
4138,2024-03-01 13:40:00,24
4139,2024-03-01 13:50:00,23
4140,2024-03-01 14:00:00,26
4141,2024-03-01 14:10:00,17
4142,2024-03-01 14:20:00,5
4143,2024-03-01 14:30:00,2
4144,2024-03-01 14:40:00,0
4145,2024-03-01 14:50:00,0
4146,2024-03-01 15:00:00,0
4147,2024-03-01 15:10:00,0
4148,2024-03-01 15:20:00,0
4149,2024-03-01 15:30:00,0
4150,2024-03-01 15:40:00,0
4151,2024-03-01 15:50:00,0
4152,2024-03-01 16:00:00,0
4153,2024-03-01 16:10:00,0
4154,2024-03-01 16:20:00,0
4155,2024-03-01 16:30:00,0
4156,2024-03-01 16:40:00,0
4157,2024-03-01 16:50:00,0
4158,2024-03-01 17:00:00,4
4159,2024-03-01 17:10:00,13
4160,2024-03-01 17:20:00,19
4161,2024-03-01 17:30:00,11
4162,2024-03-01 17:40:00,26
4163,2024-03-01 17:50:00,9
4164,2024-03-01 18:00:00,0
4165,2024-03-01 18:10:00,0
4166,2024-03-01 18:20:00,0
4167,2024-03-01 18:30:00,0
4168,2024-03-01 18:40:00,0
4169,2024-03-01 18:50:00,0
4170,2024-03-01 19:00:00,0
4171,2024-03-01 19:10:00,0
4172,2024-03-01 19:20:00,0
4173,2024-03-01 19:30:00,0
4174,2024-03-01 19:40:00,0
4175,2024-03-01 19:50:00,2
4176,2024-03-01 20:00:00,15
4177,2024-03-01 20:10:00,32
4178,2024-03-01 20:20:00,16
4179,2024-03-01 20:30:00,21
4180,2024-03-01 20:40:00,23
4181,2024-03-01 20:50:00,19
4182,2024-03-01 21:00:00,26
4183,2024-03-01 21:10:00,28
4184,2024-03-01 21:20:00,21
4185,2024-03-01 21:30:00,19
4186,2024-03-01 21:40:00,15
4187,2024-03-01 21:50:00,6
4188,2024-03-01 22:00:00,2
4189,2024-03-01 22:10:00,6
4190,2024-03-01 22:20:00,0
4191,2024-03-01 22:30:00,0
4192,2024-03-01 22:40:00,0
4193,2024-03-01 22:50:00,0
4194,2024-03-01 23:00:00,0
4195,2024-03-01 23:10:00,0
4196,2024-03-01 23:20:00,0
4197,2024-03-01 23:30:00,0
4198,2024-03-01 23:40:00,0
4199,2024-03-01 23:50:00,0
4200,2024-03-02 00:00:00,0
4201,2024-03-02 00:10:00,0
4202,2024-03-02 00:20:00,0
4203,2024-03-02 00:30:00,0
4204,2024-03-02 00:40:00,0
4205,2024-03-02 00:50:00,0
4206,2024-03-02 01:00:00,0
4207,2024-03-02 01:10:00,0
4208,2024-03-02 01:20:00,0
4209,2024-03-02 01:30:00,0
4210,2024-03-02 01:40:00,0
4211,2024-03-02 01:50:00,0
4212,2024-03-02 02:00:00,0
4213,2024-03-02 02:10:00,0
4214,2024-03-02 02:20:00,0
4215,2024-03-02 02:30:00,0
4216,2024-03-02 02:40:00,0
4217,2024-03-02 02:50:00,0
4218,2024-03-02 03:00:00,0
4219,2024-03-02 03:10:00,0
4220,2024-03-02 03:20:00,0
4221,2024-03-02 03:30:00,0
4222,2024-03-02 03:40:00,0
4223,2024-03-02 03:50:00,0
4224,2024-03-02 04:00:00,0
4225,2024-03-02 04:10:00,0
4226,2024-03-02 04:20:00,0
4227,2024-03-02 04:30:00,0
4228,2024-03-02 04:40:00,0
4229,2024-03-02 04:50:00,0
